time,ms,motvel,vehvel,
Wed Jun 25 08:19:37 EDT 2014,1403698777308,0.0,0.0,
Wed Jun 25 08:19:37 EDT 2014,1403698777477,0.0,0.0,
Wed Jun 25 08:19:37 EDT 2014,1403698777708,0.0,0.0,
Wed Jun 25 08:19:37 EDT 2014,1403698777876,0.0,0.0,
Wed Jun 25 08:19:38 EDT 2014,1403698778100,0.0,0.0,
Wed Jun 25 08:19:38 EDT 2014,1403698778283,0.0,0.0,
Wed Jun 25 08:19:38 EDT 2014,1403698778502,0.0,0.0,
Wed Jun 25 08:19:39 EDT 2014,1403698779838,0.0,0.0,
Wed Jun 25 08:19:44 EDT 2014,1403698784323,0.0,0.0,
Wed Jun 25 08:19:44 EDT 2014,1403698784448,0.0,0.0,
Wed Jun 25 08:19:49 EDT 2014,1403698789688,0.0,0.0,
Wed Jun 25 08:19:49 EDT 2014,1403698789861,0.0,0.0,
Wed Jun 25 08:19:50 EDT 2014,1403698790285,0.0,0.0,
Wed Jun 25 08:19:50 EDT 2014,1403698790480,0.0,0.0,
Wed Jun 25 08:19:50 EDT 2014,1403698790728,0.0,0.0,
Wed Jun 25 08:19:50 EDT 2014,1403698790928,0.0,0.0,
Wed Jun 25 08:19:51 EDT 2014,1403698791353,0.0,0.0,
Wed Jun 25 08:19:51 EDT 2014,1403698791519,0.0,0.0,
Wed Jun 25 08:19:51 EDT 2014,1403698791738,0.0,0.0,
Wed Jun 25 08:19:51 EDT 2014,1403698791797,0.0,0.0,
Wed Jun 25 08:19:52 EDT 2014,1403698792154,0.0,0.0,
Wed Jun 25 08:19:52 EDT 2014,1403698792190,0.0,0.0,
Wed Jun 25 08:19:52 EDT 2014,1403698792561,0.0,0.0,
Wed Jun 25 08:19:52 EDT 2014,1403698792568,0.0,0.0,
Wed Jun 25 08:19:52 EDT 2014,1403698792782,0.0,0.0,
Wed Jun 25 08:19:52 EDT 2014,1403698792990,0.0,0.0,
Wed Jun 25 08:19:53 EDT 2014,1403698793226,0.0,0.0,
Wed Jun 25 08:19:53 EDT 2014,1403698793394,0.0,0.0,
